part_id,cont_id,cnt_otherpublicplace
1010101,101010101,0
1010101,101010102,1
1010101,101010103,0
1010102,101010201,1
1010102,101010202,0
1010102,101010203,0
1010102,101010204,1
1010102,101010205,1
1010102,101010206,1
1010102,101010207,1
1010102,101010208,1
1010102,101010209,1
1010102,101010210,1
1010102,101010211,0
1010102,101010212,1
1010102,101010213,1
1010102,101010214,0
1010102,101010215,1
1010102,101010216,0
1010103,101010301,0
1010103,101010302,0
1010103,101010303,0
1010103,101010304,0
1010103,101010305,0
1010103,101010306,0
1010103,101010307,0
1010103,101010308,0
1010103,101010309,0
1010103,101010310,0
1010103,101010311,0
1010103,101010312,0
1010103,101010313,0
1010103,101010314,0
1010103,101010315,0
1010103,101010316,0
1010103,101010317,0
1010103,101010318,0
1010103,101010319,0
1010103,101010320,0
1010103,101010321,0
1010103,101010322,0
1010103,101010323,0
1010103,101010324,0
1010103,101010325,0
1010103,101010326,0
1010103,101010327,0
1010103,101010328,0
1010103,101010329,0
1010103,101010330,0
1010103,101010331,0
1010103,101010332,0
1010103,101010333,0
1010103,101010334,0
1010103,101010335,0
1010103,101010336,0
1010103,101010337,0
1010103,101010338,0
1010103,101010339,0
1010103,101010340,0
1010104,101010401,0
1010104,101010402,0
1010104,101010403,1
1010104,101010404,1
1010104,101010405,0
1010104,101010406,1
1010104,101010407,0
1010105,101010501,0
1010105,101010502,0
1010105,101010503,0
1010105,101010504,0
1010105,101010505,0
1010105,101010506,0
1010105,101010507,0
1010105,101010508,0
1010105,101010509,0
1010105,101010510,0
1010105,101010511,0
1010105,101010512,0
1010105,101010513,0
1010105,101010514,0
1010105,101010515,0
1010105,101010516,0
1010105,101010517,0
1010105,101010518,0
1010105,101010519,0
1010105,101010520,0
1010107,101010701,0
1010107,101010702,0
1010107,101010703,0
1010107,101010704,0
1010107,101010705,0
1010107,101010706,0
1010107,101010707,0
1010107,101010708,1
1010107,101010709,0
1010107,101010710,0
1010107,101010711,1
1010107,101010712,0
1010107,101010713,0
1010107,101010714,0
1010107,101010715,1
1010107,101010716,0
1010107,101010717,0
1010107,101010718,0
1010107,101010719,0
1010107,101010720,0
1010107,101010721,0
1010107,101010722,0
1010108,101010801,0
1010108,101010802,0
1010108,101010803,0
1010108,101010804,0
1010108,101010805,1
1010108,101010806,0
1010108,101010807,0
1010108,101010808,0
1010109,101010901,0
1010109,101010902,0
1010109,101010903,0
1010109,101010904,0
1010109,101010905,0
1010109,101010906,0
1010109,101010907,0
1010110,101011001,0
1010110,101011002,0
1010110,101011003,0
1010110,101011004,0
1010110,101011005,0
1010110,101011006,1
1010110,101011007,0
1010110,101011008,0
1010110,101011009,0
1010110,101011010,0
1010110,101011011,0
1010110,101011012,0
1010110,101011013,0
1010110,101011014,0
1010110,101011015,0
1010111,101011101,0
1010111,101011102,0
1010111,101011103,0
1010111,101011104,0
1010111,101011105,0
1010111,101011106,0
1010111,101011107,0
1010111,101011108,0
1010111,101011109,0
1010111,101011110,0
1010111,101011111,0
1010111,101011112,0
1010111,101011113,0
1010111,101011114,0
1010111,101011115,0
1010111,101011116,0
1010111,101011117,0
1010111,101011118,1
1010111,101011119,0
1010112,101011201,0
1010112,101011202,0
1010112,101011203,0
1010112,101011204,0
1010112,101011205,0
1010112,101011206,0
1010112,101011207,0
1010112,101011208,0
1010112,101011209,0
1010112,101011210,0
1010112,101011211,0
1010112,101011212,0
1010112,101011213,0
1010112,101011214,0
1010112,101011215,0
1010112,101011216,0
1010112,101011217,0
1010112,101011218,0
1010112,101011219,0
1010112,101011220,0
1010112,101011221,0
1010112,101011222,0
1010112,101011223,0
1010112,101011224,0
1010112,101011225,0
1010112,101011226,0
1010112,101011227,0
1010112,101011228,0
1010112,101011229,0
1010113,101011301,0
1010113,101011302,0
1010114,101011401,0
1010114,101011402,1
1010114,101011403,0
1010114,101011404,1
1010114,101011405,1
1010114,101011406,1
1010114,101011407,1
1010114,101011408,1
1010114,101011409,1
1010114,101011410,0
1010114,101011411,0
1010115,101011501,0
1010115,101011502,0
1010115,101011503,0
1010115,101011504,0
1010116,101011601,0
1010116,101011602,1
1010116,101011603,0
1010116,101011604,0
1010116,101011605,0
1010116,101011606,1
1010116,101011607,0
1010116,101011608,0
1010116,101011609,1
1010116,101011610,0
1010117,101011701,0
1010117,101011702,0
1010117,101011703,1
1010117,101011704,1
1010117,101011705,1
1010117,101011706,1
1010117,101011707,1
1010117,101011708,1
1010117,101011709,1
1010117,101011710,1
1010117,101011711,1
1010117,101011712,1
1010117,101011713,1
1010117,101011714,1
1010117,101011715,1
1010117,101011716,1
1010117,101011717,1
1010117,101011718,1
1010117,101011719,1
1010117,101011720,1
1010117,101011721,1
1010118,101011801,0
1010118,101011802,0
1010118,101011803,0
1010118,101011804,0
1010118,101011805,0
1010118,101011806,0
1010118,101011807,0
1010119,101011901,0
1010119,101011902,0
1010119,101011903,0
1010119,101011904,0
1010119,101011905,0
1010119,101011906,0
1010119,101011907,0
1010119,101011908,0
1010119,101011909,0
1010119,101011910,0
1010119,101011911,0
1010119,101011912,0
1010119,101011913,0
1010119,101011914,1
1010119,101011915,0
1010119,101011916,0
1010119,101011917,0
1010119,101011918,0
1010119,101011919,0
1010119,101011920,0
1010119,101011921,0
1010119,101011922,0
1010119,101011923,0
1010119,101011924,0
1010119,101011925,0
1010119,101011926,0
1010119,101011927,0
1010119,101011928,0
1010119,101011929,0
1010119,101011930,0
1010120,101012001,0
1010120,101012002,0
1010121,101012101,0
1010121,101012102,1
1010121,101012103,0
1010121,101012104,1
1010121,101012105,0
1010121,101012106,0
1010121,101012107,0
1010121,101012108,0
1010121,101012109,0
1010121,101012110,0
1010121,101012111,1
1010121,101012112,1
1010121,101012113,1
1010121,101012114,0
1010121,101012115,1
1010121,101012116,0
1010121,101012117,0
1010122,101012201,0
1010122,101012202,0
1010122,101012203,0
1010122,101012204,1
1010122,101012205,0
1010122,101012206,1
1010122,101012207,0
1010122,101012208,0
1010122,101012209,1
1010122,101012210,1
1010123,101012301,0
1010123,101012302,1
1010123,101012303,1
1010123,101012304,1
1010123,101012305,1
1010123,101012306,1
1010123,101012307,1
1010123,101012308,1
1010123,101012309,0
1010123,101012310,0
1010123,101012311,1
1010123,101012312,1
1010123,101012313,1
1010123,101012314,1
1010123,101012315,0
1010123,101012316,0
1010123,101012317,0
1010123,101012318,1
1010123,101012319,1
1010123,101012320,1
1010123,101012321,1
1010123,101012322,1
1010124,101012401,1
1010124,101012402,1
1010124,101012403,1
1010124,101012404,0
1010124,101012405,1
1010124,101012406,0
1010124,101012407,0
1010124,101012408,0
1010124,101012409,0
1010124,101012410,0
1010125,101012501,0
1010125,101012502,0
1010125,101012503,1
1010125,101012504,0
1010125,101012505,0
1010125,101012506,1
1010125,101012507,1
1010125,101012508,1
1010125,101012509,1
1010201,101020101,0
1010201,101020102,0
1010201,101020103,1
1010201,101020104,1
1010201,101020105,0
1010201,101020106,0
1010201,101020107,0
1010201,101020108,1
1010201,101020109,0
1010201,101020110,1
1010201,101020111,0
1010201,101020112,1
1010201,101020113,0
1010201,101020114,0
1010201,101020115,0
1010201,101020116,0
1010201,101020117,0
1010201,101020118,0
1010201,101020119,0
1010201,101020120,0
1010201,101020121,0
1010201,101020122,0
1010201,101020123,0
1010201,101020124,0
1010201,101020125,0
1010201,101020126,0
1010201,101020127,1
1010201,101020128,0
1010201,101020129,1
1010201,101020130,0
1010201,101020131,0
1010201,101020132,0
1010201,101020133,0
1010201,101020134,1
1010201,101020135,0
1010201,101020136,0
1010201,101020137,0
1010201,101020138,0
1010201,101020139,0
1010201,101020140,0
1010202,101020201,0
1010202,101020202,0
1010203,101020301,1
1010203,101020302,0
1010204,101020401,0
1010204,101020402,0
1010204,101020403,0
1010204,101020404,0
1010204,101020405,0
1010204,101020406,0
1010204,101020407,0
1010204,101020408,0
1010204,101020409,0
1010204,101020410,1
1010205,101020501,0
1010205,101020502,0
1010205,101020503,0
1010205,101020504,0
1010206,101020601,0
1010206,101020602,0
1010206,101020603,0
1010206,101020604,1
1010206,101020605,1
1010206,101020606,0
1010206,101020607,0
1010206,101020608,0
1010206,101020609,0
1010206,101020610,0
1010206,101020611,1
1010206,101020612,1
1010206,101020613,1
1010206,101020614,0
1010207,101020701,0
1010208,101020801,0
1010208,101020802,0
1010208,101020803,0
1010208,101020804,0
1010208,101020805,0
1010208,101020806,1
